head_x,head_y,food_x,food_y,direction,length,action
41,35,29,19,1,1,UP
41,27,29,19,1,1,UP
41,24,29,19,3,1,LEFT
38,24,29,19,1,1,UP
38,21,29,19,1,1,UP
38,20,29,19,3,1,LEFT
36,20,29,19,1,1,UP
36,15,29,19,3,1,LEFT
34,15,29,19,2,1,DOWN
34,20,29,19,3,1,LEFT
28,20,29,19,1,1,UP
28,15,29,19,4,1,RIGHT
30,15,29,19,2,1,DOWN
30,20,29,19,3,1,LEFT
27,20,29,19,1,1,UP
27,17,29,19,4,1,RIGHT
29,17,29,19,2,1,DOWN
29,20,41,58,3,2,LEFT
24,20,41,58,2,2,DOWN
24,24,41,58,4,2,RIGHT
27,24,41,58,1,2,UP
